index_column,taxumap1,taxumap2
211004-LD-123-11,41.579597,12.043644
211004-LD-123-12,41.791096,11.393369
211004-LD-123-16,41.50202,11.945901
211004-LD-126-04,41.29047,11.998525
211004-LD-128-01,39.476536,11.833283
211004-LD-128-02,41.41566,12.494272
211004-LD-130-01,41.350643,12.257872
211004-LD-132-01,41.665756,11.0538645
211004-LD-132-05,42.106873,12.568024
211004-LD-132-06,42.109028,12.515897
211004-LD-132-07,42.067493,12.682407
211004-LD-132.12,41.638565,10.694905
211004-LD-132.13,42.267895,11.88874
211004-LD-132.14,42.14849,12.266103
211004-LD-133-01,41.849346,12.523789
211004-LD-133-02,41.75439,12.818232
211004-LD-134-04,40.563786,16.866743
211004-LD-134.09,41.571712,12.341425
211004-LD-135-01,37.426777,24.06703
211004-LD-135-03,37.22724,23.061308
211004-LD-136-01,38.043633,11.930524
211004-LD-136-02,38.060482,11.891685
211004-LD-136-03,37.978283,11.9292145
211004-LD-136-07,37.99582,11.914796
211004-LD-136.08,38.133614,12.032051
211004-LD-138-01,41.55528,12.162212
211004-LD-139-01,41.98048,11.225881
211004-LD-139.02,42.061474,11.390225
211004-LD-142.01,41.79991,12.5842285
211004-LD-142.02,41.79734,12.481905
211004-LD-144.04,41.584396,13.078624
211004-LD-145.01,40.728737,12.185605
211004-LD-149.01,39.410927,12.680014
211004-LD-152.01,41.58947,10.3950205
211004-MICU-402.02,41.908073,12.100676
211004-MICU-402.04,41.84037,11.665263
211004-UC-077-02,37.60513,23.145073
211004-UC-077-03,40.204857,16.379244
211025-LD-074.22,40.259743,15.967323
211025-LD-075.04,40.48341,15.977473
211025-LD-102.19,38.091263,22.35506
211025-LD-102.20,37.256977,23.030516
211025-LD-102.23,37.11323,23.89342
211025-LD-102.24,37.13614,24.009325
211025-LD-102.25,37.434883,23.791548
211025-LD-111.07,40.056965,16.480799
211025-LD-111.08,37.819565,21.607855
211025-LD-111.11,41.12166,10.445207
211025-LD-113.07,39.65975,11.461786
211025-LD-117.15,37.264076,22.962914
211025-LD-117.17,37.236507,23.228943
211025-LD-123.18,40.50145,16.915123
211025-LD-123.19,40.434258,16.81645
211025-LD-134.14,40.59078,16.88921
211025-LD-134.15,40.560776,16.940079
211025-LD-135.08,41.51093,10.425139
211025-LD-136.09,38.064014,11.894925
211025-LD-136.12,38.236958,12.159381
211025-LD-146.03,40.169983,12.511811
211025-LD-147.02,41.265327,12.684623
211025-LD-155.01,36.78054,22.891205
211025-LD-155.04,36.784977,22.880476
211025-LD-156.01,40.47893,16.94985
211025-LD-158.01,40.499977,13.228765
211025-LD-158.04,40.671032,16.75701
211025-LD-159.01,41.11381,15.339542
211025-LD-162.02,41.269573,10.327182
211025-LD-164.01,37.074455,23.376024
211025-UC-077.01,39.646763,11.695611
211106-LD-092.03,37.018955,23.255438
211106-LD-111.12,39.00972,12.720624
211106-LD-113.05,39.453773,11.977748
211106-LD-117.18,37.17959,22.449713
211106-LD-123.23,37.98308,17.529385
211106-LD-132.18,41.97996,12.732056
211106-LD-135.05,41.426414,10.333393
211106-LD-138.03,41.86092,11.537051
211106-LD-147.01,41.33756,12.782624
211106-LD-153.01,41.635647,10.856324
211106-LD-161.01,41.256016,10.70197
211106-LD-161.03,41.258606,10.623114
211106-LD-161.05,41.297707,10.748231
211106-LD-161.06,41.663013,11.178891
211106-LD-167.01,40.94637,12.4625225
211106-LD-167.02,41.10886,12.645681
211106-LD-168.01,41.400978,11.216582
211106-LD-169.02,37.986835,21.4594
211106-LD-170.01,38.8329,11.521079
211106-LD-171.01,38.23255,11.607882
211106-LD-172.01,41.69527,11.070837
211106-LD-174.01,37.65521,23.270758
211106-LD-177.01,41.067444,13.25885
211106-LD-177.02,41.08654,13.150477
211106-LD-178.01,40.420074,12.16803
211106-LD-179.01,39.44797,11.540262
211106-LD-179.03,38.77314,11.501988
211106-LD-183.01,40.582184,16.933863
211106-UC-077.04,37.97764,18.862167
211106-UC-077.05,37.952675,18.924738
211106-UC-081.02,41.873825,11.77269
211126-LD-022.04,38.91563,12.977864
211126-LD-022.06,41.745483,11.647941
211126-LD-024.12,38.227013,18.481089
211126-LD-024.13,40.19855,14.818645
211126-LD-028.07,38.27296,12.23266
211126-LD-129.01,41.15246,12.611486
211126-LD-129.02,40.651863,14.643264
211126-LD-129.04,40.989735,10.692767
211126-LD-129.06,40.981174,10.804092
211126-LD-129.07,38.500465,11.485851
211126-LD-129.09,38.682137,11.71622
211126-LD-129.10,37.389866,23.42854
211126-LD-136.13,38.048466,11.949
211126-LD-138.04,41.91047,12.337704
211126-LD-138.05,41.286633,12.740352
211126-LD-138.06,38.63956,17.588486
211126-LD-138.08,41.420105,10.312412
211126-LD-146.07,39.89395,16.620644
211126-LD-146.09,40.030853,16.661085
211126-LD-146.10,40.12513,16.538845
211126-LD-146.11,40.053852,16.608282
211126-LD-146.14,37.948692,18.919598
211126-LD-146.15,36.847847,22.835373
211126-LD-146.16,38.27147,17.914383
211126-LD-146.18,36.897373,23.6986
211126-LD-149.04,37.526714,23.174078
211126-LD-161.10,41.71024,11.4704685
211126-LD-161.11,41.470097,10.353302
211126-LD-161.14,36.7536,24.357851
211126-LD-161.15,38.08776,18.08082
211126-LD-161.16,41.29914,10.622946
211126-LD-168.05,38.784504,11.480715
211126-LD-169.06,37.02486,23.723593
211126-LD-169.07,41.188335,10.489723
211126-LD-170.03,38.604527,11.409489
211126-LD-171.03,37.56887,22.00505
211126-LD-178.05,38.864582,11.544588
211126-LD-178.07,38.83002,11.605031
211126-LD-178.08,39.13734,11.569619
211126-LD-178.09,38.68557,11.553607
211126-LD-181.01,38.357204,11.598928
211126-LD-183.04,40.614723,16.879515
211126-LD-183.07,40.583416,16.833359
211126-LD-183.09,40.52747,16.895988
211126-LD-184.01,39.116695,13.098786
211126-LD-185.01,41.085537,11.019456
211126-LD-187.01,41.74639,11.75378
211126-LD-187.02,41.78504,10.787602
211126-LD-187.06,41.97407,11.685876
211126-LD-187.08,41.92592,11.028909
211126-LD-187.09,37.51696,23.64959
211126-LD-187.11,37.325954,22.7667
211126-LD-187.13,36.929935,23.362066
211126-LD-188.01,41.87063,12.590889
211126-LD-191.01,41.628017,11.153277
211126-LD-191.04,37.834145,17.801346
211126-LD-191.06,41.509567,10.523252
211126-LD-191.08,40.529694,15.59696
211126-LD-192.01,40.774784,11.62262
211126-LD-192.02,40.85852,11.584146
211126-LD-193.01,41.53534,10.560535
211126-LD-193.02,41.720444,11.264682
211126-LD-193.09,37.466637,22.843388
211126-LD-194.01,40.710236,15.012063
211126-LD-194.05,40.610714,14.913365
211126-LD-194.06,40.376057,16.549896
211126-LD-195.01,41.9729,12.1769285
211126-LD-196.01,37.432453,23.809385
211126-LD-196.03,37.221855,23.965885
211126-LD-198.01,40.754433,14.576426
211126-LD-199.01,38.96794,12.202809
211126-LD-200.01,41.896885,11.207948
211126-LD-201.01,39.16805,12.028985
211126-LD-202.01,41.57123,11.35347
211126-LD-203.01,42.017982,12.357168
211126-LD-203.03,37.307316,22.882998
211126-LD-203.04,36.998783,23.598675
211126-LD-203.05,37.20443,24.021097
211126-LD-203.08,36.992504,23.27149
211126-LD-206.01,41.018913,12.772647
211126-LD-206.04,41.438656,12.427265
211126-LD-206.05,41.260708,12.260304
211126-LD-207.01,37.83173,17.755503
211126-LD-207.03,40.733665,15.019927
211126-LD-208.02,40.40657,12.989438
211126-LD-208.03,40.406322,12.644966
211126-LD-208.04,40.360386,16.253208
211126-LD-209.01,40.87378,12.400637
211126-LD-210.01,41.700375,13.4606085
211126-LD-211.01,41.69681,12.50236
