index_column,taxumap1,taxumap2
210828-LD-060.05,57.021973,-10.605053
210828-LD-061.02,56.455853,-10.392259
210828-LD-063.02,44.195625,-11.227344
210828-LD-064.02,44.1311,-11.116046
210828-LD-066.01,57.363037,-10.884948
210828-LD-069.01,44.742085,-12.519998
210828-LD-069.05,57.710438,-10.513254
210828-LD-069.07,57.958256,-10.477461
210828-LD-069.08,57.931805,-10.398504
210828-LD-069.09,57.99875,-10.395316
210828-LD-070.01,44.136642,-14.4258995
210828-LD-072.01,45.99095,-13.661626
210828-LD-072.02,46.115284,-13.699002
210828-LD-072.03,46.17947,-13.737571
210828-LD-072.04,45.331207,-13.922198
210828-LD-072.08,45.198612,-13.927083
210828-LD-074.01,44.178406,-14.323376
210828-LD-074.02,46.49587,-14.010267
210828-LD-074.03,47.887276,-11.9094715
210828-LD-074.10,44.225323,-14.424228
210828-LD-074.11,46.005615,-14.634957
210828-LD-075.01,56.19809,-10.061683
210828-LD-075.02,44.741528,-15.124981
210828-LD-076.01,44.255054,-12.3838625
210828-LD-077.01,44.69482,-13.943558
210828-LD-079.01,45.07319,-14.566724
210828-LD-080.01,57.734043,-10.385677
210828-LD-081.01,45.72716,-13.93479
210828-LD-081.02,44.42366,-12.577815
210828-LD-083.01,45.688335,-13.903542
210828-LD-090.01,50.98191,-12.395164
210828-LD-101.01,44.57282,-14.646864
210828-LD-101.02,49.13293,-13.268376
210828-LD-102.04,58.05331,-10.368896
210828-LD-102.05,58.030533,-10.474768
210828-LD-104.02,48.647842,-13.172748
210828-LD-105.04,49.664642,-13.657682
210828-LD-115.01,45.183514,-14.667125
210828-LD-115.02,50.052578,-10.502097
210828-LD-116.02,56.984894,-10.731262
210828-LD-116.07,56.53852,-10.840764
210828-LD-118.01,46.876232,-13.847287
210828-LD-118.02,46.256413,-14.274151
210828-LD-119.01,45.816692,-14.09197
210828-LD-119.02,45.80085,-14.451857
210828-LD-120.01,44.844856,-12.613979
210828-LD-121.01,45.17903,-14.508912
210828-LD-121.05,45.24538,-14.362405
210828-LD-123.01,46.140602,-13.3317585
210828-LD-123.02,45.572765,-13.98326
210828-LD-124.01,56.751476,-10.911194
210828-LD-126.01,45.09987,-13.548101
210828-LD-127.01,45.95618,-13.139308
211004-LD-020-04,47.158554,-12.093446
211004-LD-020-06,45.519417,-14.254603
211004-LD-028-03,55.478615,-11.205259
211004-LD-028-06,51.8759,-10.842682
211004-LD-051-03,47.62224,-12.577165
211004-LD-051-14,43.87629,-11.014506
211004-LD-060-11,47.19542,-13.597254
211004-LD-060-12,47.227776,-13.570965
211004-LD-060-19,47.253452,-13.535916
211004-LD-072-11,45.34616,-13.863304
211004-LD-073-13,47.213108,-13.529414
211004-LD-074-15,48.397396,-13.493129
211004-LD-074-16,48.607338,-13.432898
211004-LD-074-17,48.347504,-13.398468
211004-LD-074-18,48.577946,-13.367826
211004-LD-074-21,48.319534,-13.275279
211004-LD-088-02,46.285896,-13.588254
211004-LD-088-03,46.377064,-13.676281
211004-LD-101-05,49.62751,-13.644482
211004-LD-101-08,50.11949,-10.434617
211004-LD-102-12,57.263504,-10.226172
211004-LD-102-13,57.91515,-10.508568
211004-LD-102-18,57.65553,-10.574114
211004-LD-109-03,49.509987,-13.508947
211004-LD-109-05,56.539265,-10.269962
211004-LD-109-06,56.59319,-10.504006
211004-LD-109-09,49.641304,-13.339013
211004-LD-109.10,49.637215,-13.511037
211004-LD-109.11,55.9231,-10.650469
211004-LD-111-02,44.14744,-14.912795
211004-LD-111-04,44.756416,-14.857126
211004-LD-111-06,44.21782,-14.952528
211004-LD-117-05,56.814842,-10.351105
211004-LD-117-09,55.935402,-10.534348
211004-LD-117.12,55.930508,-10.536482
211004-LD-121-09,45.156578,-13.961833
211004-LD-123-06,45.534363,-13.812088
211004-LD-123-07,45.242542,-14.09753
211004-LD-123-10,45.13158,-13.937633
211004-LD-123-11,45.31761,-13.934805
211004-LD-123-12,44.87992,-14.120651
211004-LD-123-16,45.134506,-13.935133
211004-LD-126-04,45.158333,-13.704984
211004-LD-128-01,44.411247,-12.30398
211004-LD-128-02,45.74487,-13.546237
211004-LD-130-01,45.606037,-13.7070055
211004-LD-132-01,44.42247,-14.276338
211004-LD-132-05,46.1121,-13.978672
211004-LD-132-06,46.02739,-13.88898
211004-LD-132-07,46.168903,-13.830044
211004-LD-132.12,44.209946,-14.508174
211004-LD-132.13,45.4274,-14.284391
211004-LD-132.14,45.859432,-14.287962
211004-LD-133-01,45.86826,-13.846021
211004-LD-133-02,46.040054,-13.773421
